#  name          size
---  ------------  --------
0  input0        1x28x28
1  conv2dcc1     16x26x26
2  conv2dcc2     16x24x24
3  maxpool2dcc3  16x12x12
4  conv2dcc4     32x10x10
5  maxpool2dcc5  32x5x5
6  reshape6      800
7  dense7        128
8  encode        10
9  dense9        128
10  dense10       800
11  reshape11     32x5x5
12  upscale2d12   32x10x10
13  conv2dcc13    16x12x12
14  upscale2d14   16x24x24
15  conv2d15      16x26x26
16  conv2d16      1x28x28
17  reshape17     784

epoch    train loss    valid loss    train/val  dur
-------  ------------  ------------  -----------  ------
    1       0.07052       0.05508      1.28036  38.81s
    2       0.04524       0.03718      1.21676  39.39s
    3       0.03463       0.03193      1.08429  38.57s
    4       0.03087       0.02932      1.05311  38.61s
    5       0.02882       0.02764      1.04288  38.92s
    6       0.02722       0.02600      1.04667  39.89s
    7       0.02559       0.02458      1.04100  40.02s
    8       0.02435       0.02354      1.03444  38.73s
    9       0.02341       0.02270      1.03109  39.11s
   10       0.02264       0.02201      1.02833  40.20s
   11       0.02200       0.02143      1.02638  38.90s
   12       0.02144       0.02092      1.02521  39.48s
   13       0.02096       0.02047      1.02409  39.35s
   14       0.02053       0.02006      1.02297  39.20s
   15       0.02011       0.01966      1.02289  38.67s
   16       0.01961       0.01910      1.02630  38.94s
   17       0.01909       0.01863      1.02432  38.64s
   18       0.01866       0.01824      1.02299  38.34s
   19       0.01829       0.01791      1.02143  38.51s
   20       0.01797       0.01762      1.01997  38.74s
   21       0.01768       0.01736      1.01881  40.50s
   22       0.01742       0.01712      1.01774  40.63s
   23       0.01714       0.01679      1.02086  39.82s
   24       0.01680       0.01645      1.02081  39.31s
   25       0.01650       0.01619      1.01854  38.80s
   26       0.01625       0.01598      1.01720  38.92s
   27       0.01604       0.01578      1.01618  38.86s
   28       0.01585       0.01561      1.01580  41.13s
   29       0.01568       0.01544      1.01502  44.32s
   30       0.01551       0.01530      1.01433  42.98s
   31       0.01536       0.01516      1.01365  38.85s
   32       0.01522       0.01503      1.01272  38.57s
   33       0.01508       0.01491      1.01189  38.95s
   34       0.01495       0.01478      1.01158  38.42s
   35       0.01483       0.01467      1.01106  38.39s
   36       0.01471       0.01456      1.01039  38.38s
   37       0.01460       0.01445      1.00990  38.38s
   38       0.01449       0.01435      1.00939  38.38s
   39       0.01438       0.01425      1.00913  38.38s
   40       0.01428       0.01415      1.00903  38.38s
   41       0.01418       0.01407      1.00837  38.38s
   42       0.01409       0.01398      1.00810  38.37s
   43       0.01400       0.01390      1.00713  38.38s
   44       0.01391       0.01381      1.00722  38.40s
   45       0.01383       0.01374      1.00638  38.38s
   46       0.01375       0.01367      1.00579  38.39s
   47       0.01367       0.01360      1.00481  38.38s
   48       0.01359       0.01353      1.00439  38.38s
   49       0.01352       0.01347      1.00394  38.38s
   50       0.01345       0.01341      1.00296  38.38s
   51       0.01338       0.01334      1.00269  38.38s
   52       0.01331       0.01328      1.00255  38.38s
   53       0.01325       0.01322      1.00190  38.38s
   54       0.01318       0.01316      1.00163  39.07s
   55       0.01312       0.01311      1.00099  40.29s
   56       0.01306       0.01305      1.00092  38.40s
   57       0.01300       0.01300      1.00040  38.43s
   58       0.01295       0.01295      0.99985  38.40s
   59       0.01289       0.01290      0.99936  38.39s
   60       0.01284       0.01285      0.99944  38.40s
   61       0.01279       0.01280      0.99908  38.41s
   62       0.01274       0.01275      0.99904  38.40s
   63       0.01269       0.01270      0.99873  38.40s
   64       0.01264       0.01265      0.99869  38.40s
   65       0.01259       0.01261      0.99842  38.40s
   66       0.01254       0.01256      0.99819  38.40s
   67       0.01250       0.01252      0.99807  38.40s
   68       0.01245       0.01248      0.99761  38.41s
   69       0.01240       0.01244      0.99738  38.40s
   70       0.01236       0.01241      0.99648  38.40s
   71       0.01232       0.01236      0.99665  38.40s
   72       0.01228       0.01232      0.99638  38.42s
   73       0.01224       0.01229      0.99585  38.39s
   74       0.01220       0.01225      0.99525  38.40s
   75       0.01216       0.01222      0.99499  38.40s
   76       0.01212       0.01218      0.99493  38.40s
   77       0.01208       0.01214      0.99498  38.40s
   78       0.01204       0.01210      0.99526  38.41s
   79       0.01201       0.01206      0.99541  38.43s
   80       0.01197       0.01203      0.99512  38.41s
   81       0.01194       0.01200      0.99499  38.40s
   82       0.01190       0.01196      0.99486  38.41s
   83       0.01187       0.01193      0.99464  38.40s
   84       0.01183       0.01190      0.99465  38.40s
   85       0.01180       0.01187      0.99387  38.42s
   86       0.01177       0.01184      0.99386  38.40s
   87       0.01174       0.01181      0.99359  38.40s
   88       0.01170       0.01178      0.99357  38.40s
   89       0.01167       0.01176      0.99292  38.40s
   90       0.01164       0.01173      0.99286  38.40s
   91       0.01161       0.01170      0.99285  38.40s
   92       0.01158       0.01167      0.99252  38.43s
   93       0.01155       0.01164      0.99285  38.40s
   94       0.01153       0.01161      0.99234  38.40s
   95       0.01150       0.01158      0.99289  38.39s
   96       0.01147       0.01155      0.99275  38.41s
   97       0.01144       0.01154      0.99176  38.40s
   98       0.01142       0.01151      0.99182  38.40s
   99       0.01139       0.01148      0.99192  38.41s
  100       0.01136       0.01146      0.99163  38.40s
